epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
31,8186.37,0.70181,0.7936,0.59343,0.56256,0.44226,0.44062,0.25869,0.68879,0.79736,0.62404,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,8449.53,0.70027,0.78441,0.5915,0.56753,0.43441,0.43744,0.25858,0.68919,0.78931,0.62418,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,8710.12,0.69785,0.78067,0.59129,0.54428,0.44141,0.43609,0.2566,0.68887,0.78697,0.62207,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,8971.88,0.69491,0.77717,0.5889,0.55786,0.4438,0.44216,0.25903,0.68718,0.78299,0.62117,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,9233.69,0.69212,0.7681,0.58789,0.56458,0.44928,0.44709,0.26529,0.68258,0.77778,0.61999,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,9493.67,0.68733,0.76112,0.58812,0.56475,0.44368,0.44305,0.26182,0.68378,0.77515,0.62023,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,9754.83,0.68599,0.75624,0.58591,0.57225,0.44983,0.45038,0.26567,0.68391,0.77461,0.6188,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,10017.6,0.68695,0.75235,0.58528,0.57284,0.44515,0.44986,0.26689,0.68288,0.77308,0.61814,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,10278.8,0.68188,0.7439,0.58316,0.5577,0.45073,0.44699,0.26482,0.68451,0.77089,0.61828,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,10540.9,0.68169,0.74253,0.58284,0.57538,0.44423,0.44765,0.26518,0.68043,0.76616,0.61634,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
