epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.814,1.70093,1.53033,1.20805,0.21986,0.18808,0.12896,0.06948,1.82422,1.56975,1.22543,0.000237109,0.000237109,0.000237109
2,198.492,1.68624,1.51609,1.19372,0.25963,0.19204,0.14434,0.07767,1.79143,1.52046,1.19668,0.000465701,0.000465701,0.000465701
3,294.631,1.67619,1.50004,1.17808,0.29311,0.2019,0.15559,0.08456,1.77094,1.51572,1.17406,0.00068487,0.00068487,0.00068487
4,390.623,1.64431,1.46464,1.15716,0.25093,0.21368,0.15451,0.08313,1.75634,1.51793,1.16975,0.000671588,0.000671588,0.000671588
5,485.511,1.62027,1.42982,1.14586,0.26768,0.23239,0.16343,0.08884,1.7219,1.50757,1.1569,0.000657451,0.000657451,0.000657451
6,580.998,1.60362,1.40147,1.13274,0.29002,0.23134,0.18119,0.09734,1.69391,1.43141,1.12979,0.000643314,0.000643314,0.000643314
7,676.27,1.58098,1.37168,1.11833,0.2831,0.24252,0.18687,0.10283,1.69991,1.42455,1.13698,0.000629177,0.000629177,0.000629177
8,771.719,1.57573,1.35591,1.1087,0.28821,0.24374,0.18566,0.09937,1.70455,1.45723,1.12454,0.00061504,0.00061504,0.00061504
9,867.137,1.55346,1.32384,1.09509,0.30271,0.2471,0.19581,0.11018,1.64962,1.39367,1.09921,0.000600902,0.000600902,0.000600902
10,962.244,1.52669,1.30859,1.08537,0.32071,0.24637,0.20347,0.11053,1.69766,1.39557,1.09509,0.000586765,0.000586765,0.000586765
11,1057.85,1.53518,1.29518,1.08137,0.32183,0.25374,0.20873,0.11561,1.63995,1.3681,1.08895,0.000572628,0.000572628,0.000572628
12,1152.82,1.50265,1.26292,1.06737,0.33943,0.27918,0.22999,0.12966,1.60123,1.33273,1.07936,0.000558491,0.000558491,0.000558491
13,1248.05,1.49354,1.25264,1.06522,0.34295,0.28327,0.23295,0.13045,1.60486,1.31129,1.0728,0.000544354,0.000544354,0.000544354
14,1343.06,1.48302,1.23556,1.05787,0.34185,0.27655,0.23895,0.13251,1.59711,1.30201,1.06914,0.000530216,0.000530216,0.000530216
15,1438.06,1.47426,1.2229,1.05084,0.3378,0.27351,0.23152,0.12904,1.60738,1.33452,1.07407,0.000516079,0.000516079,0.000516079
16,1533.43,1.46302,1.20227,1.04688,0.36651,0.28327,0.23856,0.13502,1.58494,1.30436,1.06914,0.000501942,0.000501942,0.000501942
17,1628.47,1.4535,1.18927,1.04216,0.37265,0.29285,0.25161,0.14219,1.57504,1.28264,1.05401,0.000487805,0.000487805,0.000487805
18,1723.55,1.44221,1.17456,1.03805,0.39114,0.30009,0.26228,0.14858,1.54793,1.26193,1.05064,0.000473668,0.000473668,0.000473668
19,1818.76,1.43076,1.15895,1.03205,0.35181,0.29789,0.25425,0.14204,1.56471,1.27667,1.04763,0.00045953,0.00045953,0.00045953
20,1913.85,1.42088,1.15002,1.02712,0.3809,0.29948,0.26391,0.15071,1.55147,1.24741,1.05072,0.000445393,0.000445393,0.000445393
21,2008.76,1.42304,1.14797,1.02732,0.3795,0.29698,0.25912,0.1479,1.54933,1.25978,1.04991,0.000431256,0.000431256,0.000431256
22,2103.47,1.41552,1.12809,1.01849,0.38197,0.31189,0.27301,0.15576,1.53148,1.21964,1.03444,0.000417119,0.000417119,0.000417119
23,2198.09,1.4087,1.12411,1.02166,0.37694,0.31273,0.27634,0.15673,1.51846,1.21949,1.0335,0.000402982,0.000402982,0.000402982
24,2292.93,1.39041,1.10898,1.01559,0.40294,0.30512,0.27706,0.15639,1.5264,1.22055,1.04222,0.000388844,0.000388844,0.000388844
25,2387.79,1.38815,1.09378,1.0098,0.39601,0.31753,0.2835,0.16242,1.51079,1.2011,1.03166,0.000374707,0.000374707,0.000374707
26,2482.35,1.37676,1.09142,1.00981,0.41225,0.32273,0.29069,0.16679,1.50395,1.19288,1.02717,0.00036057,0.00036057,0.00036057
27,2576.85,1.37784,1.08504,1.0079,0.40796,0.32436,0.29291,0.16865,1.49512,1.17895,1.02787,0.000346433,0.000346433,0.000346433
28,2671.29,1.37268,1.06682,1.00535,0.40482,0.31539,0.28878,0.16463,1.51212,1.18791,1.03263,0.000332296,0.000332296,0.000332296
29,2765.62,1.35928,1.0601,1.0049,0.40851,0.33101,0.3,0.17032,1.49449,1.17841,1.02422,0.000318158,0.000318158,0.000318158
30,2860.16,1.3617,1.05866,1.00069,0.39992,0.32171,0.28829,0.16544,1.51044,1.19313,1.03722,0.000304021,0.000304021,0.000304021
31,2954.34,1.357,1.05494,1.00052,0.40029,0.33384,0.29671,0.16928,1.47589,1.16512,1.01999,0.000289884,0.000289884,0.000289884
32,3048.92,1.3479,1.04313,0.99703,0.41094,0.33035,0.29909,0.17082,1.47655,1.16056,1.01454,0.000275747,0.000275747,0.000275747
33,3143.65,1.34831,1.03959,0.99591,0.41778,0.32829,0.30297,0.1728,1.47651,1.15636,1.01912,0.00026161,0.00026161,0.00026161
34,3238.06,1.33991,1.03179,0.99588,0.41447,0.33633,0.30667,0.17716,1.46893,1.15189,1.01372,0.000247472,0.000247472,0.000247472
35,3332.72,1.32729,1.02676,0.99329,0.4243,0.3345,0.30933,0.17829,1.47461,1.15089,1.01819,0.000233335,0.000233335,0.000233335
36,3427.34,1.32794,1.0149,0.98979,0.42702,0.33545,0.30708,0.1761,1.47485,1.15901,1.01572,0.000219198,0.000219198,0.000219198
37,3521.62,1.32438,1.01546,0.98896,0.43839,0.33916,0.3139,0.17985,1.46816,1.14439,1.01248,0.000205061,0.000205061,0.000205061
38,3616.11,1.31942,1.00717,0.9887,0.42212,0.34026,0.30969,0.17796,1.46786,1.14036,1.01229,0.000190924,0.000190924,0.000190924
39,3710.31,1.31437,0.99321,0.98611,0.43529,0.32952,0.30953,0.17756,1.47365,1.14343,1.01388,0.000176786,0.000176786,0.000176786
40,3804.78,1.31434,0.99585,0.98322,0.41686,0.3335,0.30464,0.17641,1.46301,1.14175,1.00949,0.000162649,0.000162649,0.000162649
41,3896.93,1.27351,0.96627,0.98672,0.43543,0.33508,0.31011,0.17845,1.45749,1.14886,1.00798,0.000148512,0.000148512,0.000148512
42,3986.77,1.26247,0.94155,0.98143,0.41309,0.34689,0.31765,0.18334,1.46025,1.13328,1.00976,0.000134375,0.000134375,0.000134375
43,4077.56,1.2603,0.93822,0.98116,0.4429,0.33851,0.31963,0.18503,1.46225,1.13202,1.01055,0.000120238,0.000120238,0.000120238
44,4167.71,1.25867,0.93582,0.98169,0.42474,0.34186,0.31841,0.18482,1.44936,1.1282,1.00553,0.0001061,0.0001061,0.0001061
45,4257.99,1.25223,0.92704,0.97842,0.43327,0.33759,0.31819,0.18453,1.44938,1.13038,1.00522,9.19632e-05,9.19632e-05,9.19632e-05
46,4347.81,1.24585,0.9182,0.97453,0.43372,0.33944,0.31766,0.18318,1.45164,1.12545,1.00681,7.7826e-05,7.7826e-05,7.7826e-05
47,4437.76,1.24212,0.91625,0.97467,0.43007,0.34125,0.31958,0.18478,1.44665,1.12322,1.00497,6.36888e-05,6.36888e-05,6.36888e-05
48,4528.03,1.2431,0.91021,0.97211,0.44731,0.33488,0.32107,0.18579,1.45028,1.11824,1.00535,4.95516e-05,4.95516e-05,4.95516e-05
49,4618.17,1.23052,0.9001,0.97141,0.45273,0.33694,0.32391,0.18802,1.44331,1.11595,1.00306,3.54144e-05,3.54144e-05,3.54144e-05
50,4708.41,1.23505,0.9022,0.97005,0.43791,0.33973,0.32174,0.18696,1.44349,1.11433,1.00353,2.12772e-05,2.12772e-05,2.12772e-05
