epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.1368,2.80052,3.73349,2.18826,0.00397,0.00388,0.00091,0.00024,3.20457,3.91413,2.27368,0.000236224,0.000236224,0.000236224
2,174.214,2.02751,2.88389,1.50153,0.17717,0.07301,0.02544,0.00962,1.82179,2.56998,1.26896,0.00045075,0.00045075,0.00045075
3,262.137,1.49607,2.42513,1.14118,0.39764,0.08746,0.04592,0.02094,1.42487,2.27554,1.04435,0.000641714,0.000641714,0.000641714
4,349.066,1.18609,2.11824,0.9666,0.30686,0.09542,0.05659,0.02767,1.23825,2.11026,0.9655,0.000607971,0.000607971,0.000607971
5,434.698,1.04877,1.94555,0.8818,0.33311,0.12114,0.07141,0.03559,1.15148,1.97284,0.9163,0.000572628,0.000572628,0.000572628
6,520.812,0.99163,1.83931,0.83781,0.43709,0.11858,0.06937,0.03504,1.12862,2.00579,0.89846,0.000537285,0.000537285,0.000537285
7,605.23,0.94718,1.74497,0.80918,0.25004,0.12959,0.07656,0.03982,1.12936,1.89346,0.90406,0.000501942,0.000501942,0.000501942
8,689.459,0.91127,1.67825,0.78802,0.16977,0.13964,0.08337,0.04375,1.09146,1.79898,0.87562,0.000466599,0.000466599,0.000466599
9,774.646,0.89567,1.63626,0.77759,0.21951,0.15213,0.09851,0.05137,1.04811,1.75524,0.8429,0.000431256,0.000431256,0.000431256
10,859.224,0.86435,1.58153,0.76167,0.19888,0.15925,0.1048,0.05502,1.02919,1.678,0.82988,0.000395913,0.000395913,0.000395913
11,945.357,0.8398,1.57158,0.70561,0.21099,0.16586,0.1097,0.05783,1.01899,1.63594,0.82518,0.00036057,0.00036057,0.00036057
12,1029.06,0.81388,1.49662,0.69174,0.18993,0.17323,0.11039,0.05722,1.0187,1.64814,0.81425,0.000325227,0.000325227,0.000325227
13,1113.92,0.80379,1.45845,0.68446,0.22329,0.18215,0.12525,0.06628,0.99868,1.57163,0.80591,0.000289884,0.000289884,0.000289884
14,1197.57,0.79318,1.43122,0.67983,0.21483,0.17348,0.11916,0.0629,0.9951,1.57994,0.81079,0.000254541,0.000254541,0.000254541
15,1281.74,0.78096,1.40655,0.67662,0.23985,0.18861,0.13202,0.07082,0.98475,1.54046,0.7973,0.000219198,0.000219198,0.000219198
16,1366.17,0.77592,1.37273,0.66994,0.22764,0.19522,0.13156,0.07069,0.98205,1.52184,0.79714,0.000183855,0.000183855,0.000183855
17,1449.78,0.76701,1.3522,0.66417,0.24425,0.19265,0.13188,0.07188,0.96779,1.50554,0.79184,0.000148512,0.000148512,0.000148512
18,1533.62,0.75294,1.33016,0.66224,0.24738,0.18608,0.13378,0.07303,0.97152,1.51962,0.79323,0.000113169,0.000113169,0.000113169
19,1617.02,0.75109,1.31737,0.66028,0.25165,0.19127,0.14089,0.07617,0.95749,1.47315,0.78787,7.7826e-05,7.7826e-05,7.7826e-05
20,1700.61,0.74105,1.29873,0.65513,0.23591,0.19377,0.13878,0.07503,0.95749,1.48526,0.78333,4.2483e-05,4.2483e-05,4.2483e-05
